approval_no,auth_datetime,amount,currency,merchant_id,card_token,customer_key,status
A839201,2026-01-13 08:12:34,5800,KRW,M000101,TKN_C0001_01,C0001,APPROVED
A839202,2026-01-13 09:05:10,4200,KRW,M000102,TKN_C0002_01,C0002,APPROVED
A839203,2026-01-13 09:33:21,9800,KRW,M000103,TKN_C0003_01,C0003,APPROVED
A839204,2026-01-13 10:11:02,33900,KRW,M000201,TKN_C0001_01,C0001,APPROVED
A839206,2026-01-13 12:05:55,33,USD,M000105,TKN_C0003_01,C0003,APPROVED
A839207,2026-01-13 12:20:40,21900,KRW,M000301,TKN_C0001_01,C0001,APPROVED
A839208,2026-01-13 13:15:07,16800,KRW,M000106,TKN_C0002_01,C0002,APPROVED
A839209,2026-01-13 14:02:18,12000,KRW,M000107,TKN_C0003_01,C0003,APPROVED
A839210,2026-01-13 15:47:33,15700,KRW,M000302,TKN_C0001_01,C0001,APPROVED
A839211,2026-01-13 16:10:59,15000,KRW,M000108,TKN_C0002_01,C0002,DECLINED
A839212,2026-01-13 17:22:41,23400,KRW,M000109,TKN_C0003_01,C0003,APPROVED
A839213,2026-01-13 18:01:05,9200,KRW,M000401,TKN_C0001_01,C0001,APPROVED
A839214,2026-01-13 18:25:10,46800,KRW,M000303,TKN_C0002_01,C0002,APPROVED
A839215,2026-01-13 19:11:46,7800,KRW,M000110,TKN_C0003_01,C0003,APPROVED
A839216,2026-01-13 20:05:12,17000,KRW,M000501,TKN_C0001_01,C0001,APPROVED
A839217,2026-01-13 20:32:27,10,USD,M000502,TKN_C0002_01,C0002,APPROVED
A839218,2026-01-13 21:03:58,1450,KRW,M999999,TKN_C0003_01,C0003,APPROVED
A839219,2026-01-13 21:45:31,31200,KRW,M000301,TKN_C0001_01,C0001,APPROVED
A839220,2026-01-14 22:18:05,2600,KRW,M000102,TKN_C0002_01,C0002,APPROVED
A839221,2026-01-13 22:41:19,58900,KRW,M000201,TKN_C0003_01,C0003,APPROVED
